iso3,country_name,year,risk_governance,risk_conflict,risk_economic,risk_democracy,risk_corruption,risk_social_unrest,risk_sanctions,risk_geopolitical,prism_score,control_of_corruption,govt_effectiveness,political_stability,regulatory_quality,rule_of_law,gdp_growth,inflation,unemployment,debt_to_gdp,cpi_score,v2x_polyarchy,v2x_libdem,conflict_events,total_fatalities,political_rights,civil_liberties
ABW,Aruba,2019,19.340000000000003,100.0,69.99,48.335,26.290000000000006,69.88,84.82,30.340000000000003,55.13,1.1651628,0.9077089,1.3349374,0.9858983,1.2930625,1.22511225158814,4.25746204335427,,,,,,0.0,0.0,,
ABW,Aruba,2020,19.36,100.0,23.52,47.83,26.28,68.93,72.5,30.400000000000006,45.34,1.165722,0.9047216,1.3345061,0.9835183,1.2938144,-23.8979898352395,,,,,,,0.0,0.0,,
ABW,Aruba,2021,19.930000000000007,100.0,53.3,48.185,33.040000000000006,69.07,72.47,30.36,51.52,0.8692192,0.9064944,1.3328137,0.9825611,1.2183341,14.7306159219273,,,,,,,0.0,0.0,,
ABW,Aruba,2022,19.14,100.0,50.14,50.21,33.05,69.47,72.41,28.11,50.48,0.8688452,1.0084741,1.3357267,0.9800098,1.2205245,10.6364309604414,,,,,,,0.0,0.0,,
ABW,Aruba,2023,21.72,100.0,47.88,49.965,33.08,68.48,72.42,35.870000000000005,51.83,0.8675607,0.6576186,1.3362003,0.9802816,1.2201246,7.70679839650956,,,,,,,0.0,0.0,,
ABW,Aruba,2024,21.769999999999996,100.0,47.19,51.269999999999996,33.05,69.32,72.43,35.89,51.72,0.8687982,0.6567856,1.3302095,0.9808972,1.22006,6.81077669324542,,,,,,,0.0,0.0,,
AFG,Afghanistan,2019,89.28,36.68,70.64,77.99,89.72,33.19,59.01,80.96000000000001,67.18,-1.5013636,-1.65408049999999,-2.5893714,-1.2762178,-1.65715489999999,3.91160341625552,2.30237251516833,11.187,,16.0,0.329,0.162,4682.0,30435.0,5.0,6.0
AFG,Afghanistan,2020,89.73,55.49,68.36,76.17,86.19,33.54,58.42,78.4,68.29,-1.40089,-1.7167282,-2.5896897,-1.3026506,-1.65566449999999,-2.35110067203466,5.60188791482224,11.71,,16.0,0.336,0.167,3317.0,20834.0,5.0,6.0
AFG,Afghanistan,2021,89.11,35.55,63.39,91.7,76.28999999999999,19.98,57.23,76.87,63.76,-1.22202489999999,-1.7059035,-2.4506389,-1.40994469999999,-1.7202682,-20.7388393676343,5.13320340824962,12.006,,16.0,0.144,0.041,4512.0,36386.0,5.0,6.0
AFG,Afghanistan,2022,92.04,95.04,64.69,97.64,76.7,6.4,56.33,82.07,71.36,-1.1719937,-1.9646115,-2.4492487,-1.4229756,-1.8586889,-6.24017199240269,13.7121023720064,14.1,,16.0,0.076,0.011,406.0,1545.0,7.0,6.0
